,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
0,Addison,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Sushi Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Noodle House,Food Truck,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Wings Joint,Filipino Restaurant,Fast Food Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Diner
1,Balch Springs,Chinese Restaurant,Asian Restaurant,Wings Joint,Filipino Restaurant,Karaoke Bar,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Fast Food Restaurant,Vietnamese Restaurant,Diner,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Korean Restaurant,Mongolian Restaurant,New American Restaurant
2,Carrollton,Korean Restaurant,Asian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Sushi Restaurant,Thai Restaurant,Ramen Restaurant,Japanese Restaurant,Karaoke Bar,Soup Place,Noodle House,Filipino Restaurant,Fried Chicken Joint,Food Truck,Wings Joint,Fast Food Restaurant,Himalayan Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet
3,Cedar Hill,Asian Restaurant,Chinese Restaurant,Sushi Restaurant,Wings Joint,Filipino Restaurant,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Diner,Fast Food Restaurant,Korean Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
4,Coppell,Vietnamese Restaurant,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Thai Restaurant,Sushi Restaurant,Peking Duck Restaurant,Filipino Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Wings Joint,Fast Food Restaurant,Karaoke Bar,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Diner
5,Dallas,Asian Restaurant,Chinese Restaurant,Sushi Restaurant,Thai Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Ramen Restaurant,Noodle House,Food Truck,Fast Food Restaurant,Seafood Restaurant,Taiwanese Restaurant,Fried Chicken Joint,Sandwich Place,New American Restaurant,American Restaurant,Vegetarian / Vegan Restaurant,Poke Place,Szechuan Restaurant
6,Desoto,Chinese Restaurant,Thai Restaurant,Wings Joint,Fast Food Restaurant,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Filipino Restaurant,Diner,Korean Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Asian Restaurant,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
7,Duncanville,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,Sushi Restaurant,Mongolian Restaurant,Burmese Restaurant,Buffet,Bakery,Dim Sum Restaurant,Korean Restaurant,Fast Food Restaurant,Filipino Restaurant,Food Truck,Fried Chicken Joint,Himalayan Restaurant,Indian Restaurant,Japanese Restaurant,Karaoke Bar,Diner,Wings Joint
8,Garland,Chinese Restaurant,Vietnamese Restaurant,Asian Restaurant,Sushi Restaurant,Thai Restaurant,Korean Restaurant,Tianjin Restaurant,Filipino Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Wings Joint,Fast Food Restaurant,Diner,Japanese Restaurant,Burmese Restaurant,Buffet,Bakery,Dim Sum Restaurant
9,Grand Prairie,Chinese Restaurant,Asian Restaurant,Japanese Restaurant,Filipino Restaurant,Sushi Restaurant,Wings Joint,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Diner,Fast Food Restaurant,Korean Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
10,Hutchins,Asian Restaurant,Sushi Restaurant,Wings Joint,Fast Food Restaurant,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Filipino Restaurant,Diner,Korean Restaurant,Dim Sum Restaurant,Chinese Restaurant,Burmese Restaurant,Buffet,Bakery,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
11,Irving,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Japanese Restaurant,Sushi Restaurant,Korean Restaurant,Vietnamese Restaurant,Indian Restaurant,Himalayan Restaurant,Sandwich Place,Bakery,Wings Joint,Dim Sum Restaurant,Diner,Fast Food Restaurant,Filipino Restaurant,Food Truck,Fried Chicken Joint,Burmese Restaurant,Buffet
12,Lancaster,Chinese Restaurant,Asian Restaurant,Wings Joint,Filipino Restaurant,Karaoke Bar,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Fast Food Restaurant,Vietnamese Restaurant,Diner,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Korean Restaurant,Mongolian Restaurant,New American Restaurant
13,Mesquite,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Thai Restaurant,Sushi Restaurant,Wings Joint,Filipino Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Dim Sum Restaurant,Fast Food Restaurant,Diner,Korean Restaurant,Burmese Restaurant,Buffet,Bakery,Karaoke Bar,Mongolian Restaurant
14,Richardson,Asian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Japanese Restaurant,Sushi Restaurant,Korean Restaurant,Noodle House,Ramen Restaurant,Dim Sum Restaurant,Vegetarian / Vegan Restaurant,Buffet,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Wings Joint,Food Truck,Filipino Restaurant,Fast Food Restaurant,Burmese Restaurant
15,Rowlett,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,Thai Restaurant,Filipino Restaurant,Karaoke Bar,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Wings Joint,Fast Food Restaurant,Korean Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Diner,Mongolian Restaurant
16,Sachse,Japanese Restaurant,Chinese Restaurant,Sushi Restaurant,Korean Restaurant,Wings Joint,Filipino Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Diner,Fast Food Restaurant,Dim Sum Restaurant,Burmese Restaurant,Buffet,Bakery,Asian Restaurant,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
17,Sunnyvale,Sushi Restaurant,Wings Joint,Fast Food Restaurant,Japanese Restaurant,Indian Restaurant,Himalayan Restaurant,Fried Chicken Joint,Food Truck,Filipino Restaurant,Diner,Korean Restaurant,Dim Sum Restaurant,Chinese Restaurant,Burmese Restaurant,Buffet,Bakery,Asian Restaurant,Karaoke Bar,Mongolian Restaurant,Vietnamese Restaurant
