zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
75001,32.96,-96.83847,Addison,TX,Texas,TRUE,,12414,1250.2,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75002,33.08966,-96.60751,Allen,TX,Texas,TRUE,,63140,655.6,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75006,32.96188,-96.89701,Carrollton,TX,Texas,TRUE,,46364,1065,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75007,33.00462,-96.89714,Carrollton,TX,Texas,TRUE,,51624,1709.9,48121,Denton,"{'48113':5.79,'48121':94.21}",FALSE,FALSE,America/Chicago
75009,33.34028,-96.75033,Celina,TX,Texas,TRUE,,8785,35.5,48085,Collin,"{'48085':94.8,'48121':5.2}",FALSE,FALSE,America/Chicago
75010,33.03424,-96.89672,Carrollton,TX,Texas,TRUE,,21607,1033,48121,Denton,{'48121':100},FALSE,FALSE,America/Chicago
75013,33.11467,-96.69411,Allen,TX,Texas,TRUE,,30347,779.2,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75019,32.96329,-96.98553,Coppell,TX,Texas,TRUE,,38666,906,48113,Dallas,"{'48113':98.05,'48121':1.95}",FALSE,FALSE,America/Chicago
75020,33.77167,-96.60413,Denison,TX,Texas,TRUE,,21872,135,48181,Grayson,{'48181':100},FALSE,FALSE,America/Chicago
75021,33.72616,-96.47326,Denison,TX,Texas,TRUE,,8036,51.6,48181,Grayson,{'48181':100},FALSE,FALSE,America/Chicago
75022,33.02772,-97.12023,Flower Mound,TX,Texas,TRUE,,22545,453.2,48121,Denton,"{'48121':99.09,'48439':0.91}",FALSE,FALSE,America/Chicago
75023,33.05706,-96.73242,Plano,TX,Texas,TRUE,,45452,1862.7,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75024,33.07735,-96.80704,Plano,TX,Texas,TRUE,,36039,1098.1,48085,Collin,"{'48085':94.2,'48121':5.8}",FALSE,FALSE,America/Chicago
75025,33.09095,-96.74128,Plano,TX,Texas,TRUE,,50926,2102.5,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75028,33.0328,-97.06086,Flower Mound,TX,Texas,TRUE,,42226,1075.2,48121,Denton,"{'48121':99.99,'48439':0.01}",FALSE,FALSE,America/Chicago
75032,32.85504,-96.42764,Rockwall,TX,Texas,TRUE,,27986,210.6,48397,Rockwall,{'48397':100},FALSE,FALSE,America/Chicago
